"","latitude","longitude","brightness","scan","track","acq_date","acq_time","version","bright_t31","frp","daynight","bright_ti4","bright_ti5"
"1",-23.603,-48.235,301.4,1.7,1.3,"2020-10-22",135,"6.0NRT",288.3,10.5,"N",NA,NA
"2",-22.911,-43.731,305.7,1,1,"2020-10-22",135,"6.0NRT",286.2,8.4,"N",NA,NA
"3",-22.248,-43.525,308.3,1,1,"2020-10-22",135,"6.0NRT",290.5,8.5,"N",NA,NA
"4",-22.25,-43.534,305.5,1,1,"2020-10-22",135,"6.0NRT",289.2,6.8,"N",NA,NA
"5",-22.676,-48.4,339,1.7,1.3,"2020-10-22",135,"6.0NRT",280.9,94,"N",NA,NA
"6",-19.227,-49.003,301.6,1.6,1.3,"2020-10-22",135,"6.0NRT",289.9,7.4,"N",NA,NA
"7",-16.734,-48.869,303.4,1.5,1.2,"2020-10-22",135,"6.0NRT",289.5,9.4,"N",NA,NA
"8",-15.78,-50.514,303.8,1.9,1.3,"2020-10-22",135,"6.0NRT",290.8,10.5,"N",NA,NA
"9",-15.597,-51.738,301.9,2.3,1.5,"2020-10-22",135,"6.0NRT",285.8,14,"N",NA,NA
"10",-14.433,-43.185,315.9,1.1,1,"2020-10-22",135,"6.0NRT",283.4,16.3,"N",NA,NA
"11",-14.1,-46.959,304.6,1.1,1,"2020-10-22",135,"6.0NRT",289.2,6,"N",NA,NA
"12",-13.557,-46.828,301.8,1.1,1,"2020-10-22",135,"6.0NRT",287.2,4,"N",NA,NA
"13",-13.557,-47.014,305.8,1.1,1,"2020-10-22",135,"6.0NRT",290.4,5.9,"N",NA,NA
"14",-13.664,-49.786,303.5,1.6,1.2,"2020-10-22",135,"6.0NRT",288.6,8.9,"N",NA,NA
"15",-13.663,-49.793,304.8,1.6,1.2,"2020-10-22",135,"6.0NRT",288.6,9.5,"N",NA,NA
"16",-14.129,-54.288,300.3,3.5,1.8,"2020-10-22",135,"6.0NRT",286.2,18,"N",NA,NA
"17",-14.133,-54.32,308.4,3.5,1.8,"2020-10-22",135,"6.0NRT",288.2,49,"N",NA,NA
"18",-13.216,-47.952,319,1.2,1.1,"2020-10-22",135,"6.0NRT",286.9,20.5,"N",NA,NA
"19",-13.217,-47.963,317.1,1.2,1.1,"2020-10-22",135,"6.0NRT",287.4,18.2,"N",NA,NA
"20",-13.203,-47.933,312,1.2,1.1,"2020-10-22",135,"6.0NRT",286.4,12.9,"N",NA,NA
"21",-13.205,-47.943,322.2,1.2,1.1,"2020-10-22",135,"6.0NRT",287.2,23.8,"N",NA,NA
"22",-13.207,-47.965,310.8,1.2,1.1,"2020-10-22",135,"6.0NRT",288.7,11,"N",NA,NA
"23",-13.233,-48.311,306.7,1.2,1.1,"2020-10-22",135,"6.0NRT",291.1,9.2,"N",NA,NA
"24",-13.018,-46.982,306.5,1.1,1,"2020-10-22",135,"6.0NRT",291.1,5.7,"N",NA,NA
"25",-13.012,-46.989,310.3,1.1,1,"2020-10-22",135,"6.0NRT",291.1,9.3,"N",NA,NA
"26",-12.928,-47.861,331.7,1.2,1.1,"2020-10-22",135,"6.0NRT",296.7,35.5,"N",NA,NA
